subclass,group,freq
A01B,A01B25,1
A01B,A01B37,1
A01C,A01C13,1
A01C,A01C9,1
A01D,A01D21,1
A01D,A01D25,1
A01D,A01D59,1
A01F,A01F17,1
A01J,A01J13,1
A01J,A01J15,1
A01J,A01J19,1
A01J,A01J27,1
A01K,A01K14,1
A01K,A01K19,1
A01K,A01K21,1
A01K,A01K25,1
A01K,A01K49,1
A01K,A01K71,1
A01K,A01K80,1
A01L,A01L1,1
A01M,A01M11,1
A01M,A01M15,1
A21C,A21C14,1
A21D,A21D15,1
A22C,A22C5,1
A23C,A23C17,1
A23C,A23C23,1
A24F,A24F21,1
A41B,A41B7,1
A41F,A41F13,1
A41G,A41G9,1
A41H,A41H17,1
A41H,A41H27,1
A41H,A41H33,1
A41H,A41H5,1
A43C,A43C3,1
A43D,A43D39,1
A43D,A43D91,1
A43D,A43D97,1
A44B,A44B3,1
A44C,A44C19,1
A45B,A45B21,1
A46D,A46D9,1
A46D,A46D99,1
A47B,A47B29,1
A47B,A47B35,1
A47B,A47B71,1
A47B,A47B79,1
A47C,A47C29,1
A47H,A47H27,1
A47J,A47J23,1
A61D,A61D11,1
A61F,A61F3,1
A61G,A61G19,1
A61P,A61P41,1
A62B,A62B11,1
A62B,A62B29,1
A62B,A62B31,1
A62C,A62C15,1
A62D,A62D9,1
A63D,A63D1,1
A63G,A63G13,1
A63G,A63G23,1
A63G,A63G27,1
A63G,A63G3,1
A63G,A63G4,1
A63H,A63H31,1
A63J,A63J99,1
A63K,A63K99,1
B01J,B01J16,1
B02C,B02C11,1
B03C,B03C9,1
B21B,B21B11,1
B21B,B21B47,1
B21B,B21B5,1
B21B,B21B99,1
B21C,B21C45,1
B21C,B21C99,1
B21F,B21F17,1
B21F,B21F19,1
B21F,B21F39,1
B21G,B21G7,1
B21H,B21H9,1
B21J,B21J19,1
B21J,B21J3,1
B21K,B21K11,1
B21K,B21K15,1
B21K,B21K19,1
B21L,B21L11,1
B21L,B21L15,1
B21L,B21L19,1
B21L,B21L5,1
B22C,B22C11,1
B22C,B22C17,1
B23B,B23B15,1
B23C,B23C7,1
B23D,B23D3,1
B23D,B23D5,1
B23F,B23F13,1
B23F,B23F7,1
B23G,B23G11,1
B23G,B23G3,1
B23K,B23K23,1
B23P,B23P5,1
B23Q,B23Q23,1
B23Q,B23Q33,1
B25B,B25B33,1
B25C,B25C9,1
B25D,B25D15,1
B25D,B25D7,1
B27B,B27B15,1
B27D,B27D3,1
B27G,B27G1,1
B27G,B27G17,1
B27G,B27G23,1
B27H,B27H5,1
B27K,B27K7,1
B27N,B27N9,1
B29D,B29D16,1
B29D,B29D25,1
B29K,B29K221,1
B29K,B29K223,1
B29K,B29K263,1
B29K,B29K271,1
B29K,B29K283,1
B29K,B29K409,1
B29K,B29K433,1
B29K,B29K467,1
B29K,B29K469,1
B29K,B29K475,1
B29K,B29K477,1
B29K,B29K479,1
B29K,B29K491,1
B29K,B29K503,1
B29K,B29K659,1
B29K,B29K663,1
B29K,B29K696,1
B29K,B29K73,1
B29K,B29K85,1
B29K,B29K86,1
B29L,B29L17,1
B29L,B29L19,1
B29L,B29L21,1
B30B,B30B12,1
B31B,B31B13,1
B31B,B31B37,1
B31B,B31B45,1
B31C,B31C7,1
B31C,B31C9,1
B41B,B41B13,1
B41D,B41D3,1
B41G,B41G1,1
B41G,B41G7,1
B41J,B41J27,1
B41K,B41K99,1
B41L,B41L19,1
B41L,B41L21,1
B41M,B41M9,1
B42C,B42C3,1
B42C,B42C99,1
B42D,B42D17,1
B43K,B43K11,1
B43L,B43L11,1
B43L,B43L12,1
B43L,B43L21,1
B43L,B43L3,1
B43M,B43M15,1
B44B,B44B1,1
B44B,B44B11,1
B44B,B44B9,1
B44D,B44D7,1
B44F,B44F3,1
B44F,B44F5,1
B44F,B44F99,1
B60D,B60D99,1
B60N,B60N5,1
B61B,B61B15,1
