subclass,freq
A01B,687
A01C,575
A01D,1022
A01F,244
A01G,968
A01H,2014
A01J,110
A01K,1591
A01L,16
A01M,433
A01N,2813
A01P,15
A21B,88
A21C,100
A21D,128
A22B,51
A22C,165
A23B,172
A23C,217
A23D,87
A23F,121
A23G,234
A23J,56
A23K,661
A23L,1938
A23N,60
A23P,226
A24B,197
A24C,59
A24D,111
A24F,784
A41B,159
A41C,96
A41D,1023
A41F,142
A41G,57
A41H,44
A42B,337
A42C,20
A43B,1383
A43C,298
A43D,150
A44B,379
A44C,318
A45B,206
A45C,973
A45D,768
A45F,542
A46B,599
A46D,44
A47B,1962
A47C,1564
A47D,258
A47F,704
A47G,937
A47H,81
A47J,1229
A47K,650
A47L,1251
A61B,20297
A61C,1484
A61D,123
A61F,5353
A61G,754
A61H,1083
A61J,786
A61K,26835
A61L,2764
A61M,7233
A61N,2878
A61P,785
A61Q,2046
A62B,487
A62C,499
A62D,89
A63B,4575
A63C,224
A63D,18
A63F,2430
A63G,182
A63H,667
A63J,69
A63K,13
B01B,12
B01D,6651
B01F,1732
B01J,5922
B01L,1506
B02B,12
B02C,335
B03B,94
B03C,234
B03D,86
B04B,257
B04C,111
B05B,2014
B05C,803
B05D,1877
B06B,272
B07B,193
B07C,192
B08B,1235
B09B,115
B09C,67
B21B,307
B21C,224
B21D,1045
B21F,94
B21G,4
B21H,44
B21J,207
B21K,136
B21L,9
B22C,270
B22D,852
B22F,1396
B23B,809
B23C,334
B23D,457
B23F,115
B23G,32
B23H,189
B23K,3466
B23P,1062
B23Q,812
B24B,1036
B24C,192
B24D,442
B25B,886
B25C,79
B25D,162
B25F,255
B25G,207
B25H,217
B25J,2204
B26B,391
B26D,676
B26F,167
B27B,173
B27C,25
B27D,12
B27F,9
B27G,62
B27H,3
B27J,2
B27K,45
B27L,27
B27M,23
B27N,67
B28B,448
B28C,68
B28D,141
B29B,493
B29C,7042
B29D,982
B29K,3664
B29L,2644
B30B,259
B31B,433
B31C,9
B31D,62
B31F,107
B32B,8031
B33Y,2167
B41B,2
B41C,42
B41D,7
B41F,430
B41G,2
B41J,3614
B41K,29
B41L,12
B41M,591
B41N,61
B42B,49
B42C,108
B42D,363
B42F,123
B43K,208
B43L,46
B43M,29
B44B,29
B44C,293
B44D,62
B44F,60
B60B,627
B60C,1253
B60D,202
B60F,41
B60G,754
B60H,687
B60J,779
B60K,3309
B60L,3748
B60M,67
B60N,1252
B60P,771
B60Q,1698
B60R,4343
B60S,404
B60T,1647
B60V,16
B60W,4280
B61B,128
B61C,99
B61D,171
B61F,110
B61G,34
B61H,79
B61J,4
B61K,48
B61L,391
B62B,674
B62C,5
B62D,3848
B62H,86
B62J,497
B62K,802
B62L,92
B62M,515
B63B,1289
B63C,169
B63G,142
B63H,666
B63J,63
B64B,34
B64C,2651
B64D,2361
B64F,414
B64G,260
B65B,2178
B65C,171
B65D,6734
B65F,157
B65G,2626
B65H,2646
B66B,766
B66C,465
B66D,200
B66F,449
B67B,93
B67C,137
B67D,565
B68B,8
B68C,6
B68F,1
B68G,32
B81B,538
B81C,524
B82B,40
B82Y,1934
C01B,2006
C01C,63
C01D,89
C01F,239
C01G,732
C02F,3029
C03B,570
C03C,1389
C04B,2397
C05B,85
C05C,107
C05D,123
C05F,140
C05G,128
C06B,132
C06C,17
C06D,18
C07B,255
C07C,6030
C07D,13709
C07F,1530
C07G,46
C07H,1280
C07J,245
C07K,5973
C08B,346
C08C,118
C08F,3676
C08G,3132
C08H,117
C08J,1989
C08K,2898
C08L,4218
C09B,485
C09C,315
C09D,4268
C09F,7
C09G,99
C09H,2
C09J,1854
C09K,2749
C10B,360
C10C,21
C10F,3
C10G,1760
C10J,136
C10K,90
C10L,690
C10M,881
C10N,15
C11B,285
C11C,129
C11D,1217
C12C,46
C12F,12
C12G,48
C12H,25
C12J,1
C12L,3
C12M,811
C12N,7413
C12P,2106
C12Q,2854
C12R,177
C12S,1
C13B,29
C13K,111
C14B,15
C14C,22
C21B,100
C21C,62
C21D,1256
C22B,569
C22C,1990
C22F,310
C23C,3308
C23D,10
C23F,374
C23G,43
C25B,724
C25C,141
C25D,1146
C25F,104
C30B,1244
C40B,306
D01B,9
D01C,4
D01D,309
D01F,439
D01G,47
D01H,42
D02G,128
D02J,47
D03C,10
D03D,421
D03J,3
D04B,212
D04C,49
D04D,8
D04G,4
D04H,415
D05B,170
D05C,61
D06B,90
D06C,51
D06F,1037
D06G,2
D06H,20
D06J,1
D06L,18
D06M,472
D06N,90
D06P,90
D06Q,8
D07B,95
